type,name,definition,origin,rationale
concept,interface_exposure,0.5 asset_exposure_risk + 0.5 evacuation_pressure,"generative stage (live model), gates G1-G2b-G5",Names the recurring settlement-edge situation the five decision concepts could not express; later rules cite it for interface defense.
intervention,downwind_backburn,1.0 containment_line + 0.7 suppression_effort,"generative stage (live model), gates G1-G5",burn out the fuel ahead of the head so the front starves inside a contained strip
intervention,downwind_retardant_shield,1.0 retardant_drop + 0.8 containment_line,"generative stage (live model), gates G1-G5",coat the downwind corridor before the front arrives; line holds the edge
intervention,drafting_sustained_attack,1.0 water_drafting + 0.9 suppression_effort,"generative stage (live model), gates G1-G5",hold suppression at the front by refilling from the mapped water body
intervention,head_knockdown,1.0 water_drafting + 0.9 suppression_effort + 0.6 retardant_drop,"generative stage (live model), gates G1-G5",concentrate water and retardant on the head to break the run in one push
intervention,wet_containment_line,1.0 water_drafting + 0.8 containment_line,"generative stage (live model), gates G1-G5",wet the dug line so it holds under ember attack
intervention,counterfire_strip,1.0 tactical_burn + 0.6 containment_line,"generative stage (live model), gates G1-G5",tactical burn plus line: a fire fought with fire
intervention,drafting_retardant_shuttle,1.0 retardant_drop + 0.6 water_drafting,"generative stage (live model), gates G1-G5",helicopter shuttle between water body and retardant line keeps the drop rate sustained
intervention,town_shield,1.0 asset_protection + 0.8 containment_line,"generative stage (offline template), gates G1-G5",
rule,G1,IF asset_exposure_risk is L AND fire_threat_level is VH THEN town_shield,"generative stage, gates G1-G4","A generated rule ordering a generated intervention: the vocabulary growth is used, not decorative."
